#   Wavelength        (Rp/Rs)**2
#           um          unitless
     5.0000000   1.287766469e-02
     4.9975012   1.284002514e-02
     4.9950050   1.286717012e-02
     4.9925112   1.293240439e-02
     4.9900200   1.290612851e-02
     4.9875312   1.288977191e-02
     4.9850449   1.284772647e-02
     4.9825610   1.288565459e-02
     4.9800797   1.287917256e-02
     4.9776008   1.287893320e-02
     4.9751244   1.287355967e-02
     4.9726504   1.288122825e-02
     4.9701789   1.288562503e-02
     4.9677099   1.287018414e-02
     4.9652433   1.286961770e-02
     4.9627792   1.288055676e-02
     4.9603175   1.284469293e-02
     4.9578582   1.285036333e-02
     4.9554014   1.287092067e-02
     4.9529470   1.285208231e-02
     4.9504950   1.283189453e-02
     4.9480455   1.285054327e-02
     4.9455984   1.283877618e-02
     4.9431537   1.287151721e-02
     4.9407115   1.285746051e-02
     4.9382716   1.283847228e-02
     4.9358342   1.293273265e-02
     4.9333991   1.287317566e-02
     4.9309665   1.289550728e-02
     4.9285362   1.287328546e-02
     4.9261084   1.292184433e-02
     4.9236829   1.281605737e-02
     4.9212598   1.287614622e-02
     4.9188392   1.289630880e-02
     4.9164208   1.288327473e-02
     4.9140049   1.287756114e-02
     4.9115914   1.289778572e-02
     4.9091802   1.288628446e-02
     4.9067713   1.287471566e-02
     4.9043649   1.284671278e-02
     4.9019608   1.289613800e-02
     4.8995590   1.289811463e-02
     4.8971596   1.283540178e-02
     4.8947626   1.291922709e-02
     4.8923679   1.289209621e-02
     4.8899756   1.290710749e-02
     4.8875855   1.284467110e-02
     4.8851979   1.287348947e-02
     4.8828125   1.291284735e-02
     4.8804295   1.290691413e-02
     4.8780488   1.291592013e-02
     4.8756704   1.283200516e-02
     4.8732943   1.287180549e-02
     4.8709206   1.291036865e-02
     4.8685492   1.289004150e-02
     4.8661800   1.288565437e-02
     4.8638132   1.287867398e-02
     4.8614487   1.287048300e-02
     4.8590865   1.290474012e-02
     4.8567266   1.284965189e-02
     4.8543689   1.288904889e-02
     4.8520136   1.288941781e-02
     4.8496605   1.288488872e-02
     4.8473097   1.286804367e-02
     4.8449612   1.287847505e-02
     4.8426150   1.288956146e-02
     4.8402711   1.288339555e-02
     4.8379294   1.290391171e-02
     4.8355899   1.287939244e-02
     4.8332528   1.289388832e-02
     4.8309179   1.291827406e-02
     4.8285852   1.290500846e-02
     4.8262548   1.291726910e-02
     4.8239267   1.293217501e-02
     4.8216008   1.290602121e-02
     4.8192771   1.289346091e-02
     4.8169557   1.287073765e-02
     4.8146365   1.289233565e-02
     4.8123195   1.288713795e-02
     4.8100048   1.286472289e-02
     4.8076923   1.286174431e-02
     4.8053820   1.286183906e-02
     4.8030740   1.293964004e-02
     4.8007681   1.284225988e-02
     4.7984645   1.287239978e-02
     4.7961631   1.291432182e-02
     4.7938639   1.286249849e-02
     4.7915668   1.285250837e-02
     4.7892720   1.286345297e-02
     4.7869794   1.289701765e-02
     4.7846890   1.289129109e-02
     4.7824008   1.289207218e-02
     4.7801147   1.288506557e-02
     4.7778309   1.288417008e-02
     4.7755492   1.290606909e-02
     4.7732697   1.288072668e-02
     4.7709924   1.290296143e-02
     4.7687172   1.288853616e-02
     4.7664442   1.290666577e-02
     4.7641734   1.291936572e-02
     4.7619048   1.288040560e-02
     4.7596383   1.292218881e-02
     4.7573739   1.289650366e-02
     4.7551117   1.291071030e-02
     4.7528517   1.291501183e-02
     4.7505938   1.286934204e-02
     4.7483381   1.286026142e-02
     4.7460845   1.291201732e-02
     4.7438330   1.286609146e-02
     4.7415837   1.288156337e-02
     4.7393365   1.290411120e-02
     4.7370914   1.284340450e-02
     4.7348485   1.285472024e-02
     4.7326077   1.289447325e-02
     4.7303690   1.288899994e-02
     4.7281324   1.290414519e-02
     4.7258979   1.287725422e-02
     4.7236656   1.292679609e-02
     4.7214353   1.292969525e-02
     4.7192072   1.292681893e-02
     4.7169811   1.287876444e-02
     4.7147572   1.289111610e-02
     4.7125353   1.283319156e-02
     4.7103156   1.293314620e-02
     4.7080979   1.285233091e-02
     4.7058824   1.292226375e-02
     4.7036689   1.283103667e-02
     4.7014575   1.293246790e-02
     4.6992481   1.293511243e-02
     4.6970409   1.285774141e-02
     4.6948357   1.289458037e-02
     4.6926326   1.292704889e-02
     4.6904315   1.292197510e-02
     4.6882325   1.293828194e-02
     4.6860356   1.285562777e-02
     4.6838407   1.289155778e-02
     4.6816479   1.286454320e-02
     4.6794572   1.284087020e-02
     4.6772685   1.284434083e-02
     4.6750818   1.291086737e-02
     4.6728972   1.284686233e-02
     4.6707146   1.289154631e-02
     4.6685341   1.291650629e-02
     4.6663556   1.290796842e-02
     4.6641791   1.285450476e-02
     4.6620047   1.284267464e-02
     4.6598322   1.293468916e-02
     4.6576619   1.286334586e-02
     4.6554935   1.286850241e-02
     4.6533271   1.288349615e-02
     4.6511628   1.285704310e-02
     4.6490005   1.293962887e-02
     4.6468401   1.284194961e-02
     4.6446818   1.284862229e-02
     4.6425255   1.289345010e-02
     4.6403712   1.291892178e-02
     4.6382189   1.287309924e-02
     4.6360686   1.293964004e-02
     4.6339203   1.284852813e-02
     4.6317740   1.284732277e-02
     4.6296296   1.292542560e-02
     4.6274873   1.283974770e-02
     4.6253469   1.293964003e-02
     4.6232085   1.287832142e-02
     4.6210721   1.286196473e-02
     4.6189376   1.290816228e-02
     4.6168052   1.293925314e-02
     4.6146747   1.285226185e-02
     4.6125461   1.292881636e-02
     4.6104195   1.288803166e-02
     4.6082949   1.287118047e-02
     4.6061723   1.292285514e-02
     4.6040516   1.285313343e-02
     4.6019328   1.285979832e-02
     4.5998160   1.293963895e-02
     4.5977011   1.288455386e-02
     4.5955882   1.285243609e-02
     4.5934773   1.287486032e-02
     4.5913682   1.289003405e-02
     4.5892611   1.285675063e-02
     4.5871560   1.287133442e-02
     4.5850527   1.292144739e-02
     4.5829514   1.290534868e-02
     4.5808520   1.291823026e-02
     4.5787546   1.293371754e-02
     4.5766590   1.293954714e-02
     4.5745654   1.293964004e-02
     4.5724737   1.287432104e-02
     4.5703839   1.286122118e-02
     4.5682960   1.293855611e-02
     4.5662100   1.287608896e-02
     4.5641260   1.293933768e-02
     4.5620438   1.293834381e-02
     4.5599635   1.292972305e-02
     4.5578851   1.290777347e-02
     4.5558087   1.293090937e-02
     4.5537341   1.285853262e-02
     4.5516614   1.293960593e-02
     4.5495905   1.292211569e-02
     4.5475216   1.293964003e-02
     4.5454545   1.287661825e-02
     4.5433894   1.291377467e-02
     4.5413261   1.286246616e-02
