#   Wavelength        (Rp/Rs)**2
#           um          unitless
     5.0000000   1.405610031e-02
     4.9975012   1.406350154e-02
     4.9950050   1.405989595e-02
     4.9925112   1.407165194e-02
     4.9900200   1.405942111e-02
     4.9875312   1.405747848e-02
     4.9850449   1.405614802e-02
     4.9825610   1.405862592e-02
     4.9800797   1.405884995e-02
     4.9776008   1.405866587e-02
     4.9751244   1.405656725e-02
     4.9726504   1.406215722e-02
     4.9701789   1.405905354e-02
     4.9677099   1.406277390e-02
     4.9652433   1.405892394e-02
     4.9627792   1.406199380e-02
     4.9603175   1.406436301e-02
     4.9578582   1.405998646e-02
     4.9554014   1.406580393e-02
     4.9529470   1.405985245e-02
     4.9504950   1.406077371e-02
     4.9480455   1.405766027e-02
     4.9455984   1.405618778e-02
     4.9431537   1.406494244e-02
     4.9407115   1.405610173e-02
     4.9382716   1.406254070e-02
     4.9358342   1.407562940e-02
     4.9333991   1.405911724e-02
     4.9309665   1.406251459e-02
     4.9285362   1.405701493e-02
     4.9261084   1.406574504e-02
     4.9236829   1.405615126e-02
     4.9212598   1.406022788e-02
     4.9188392   1.405741744e-02
     4.9164208   1.406106701e-02
     4.9140049   1.405676588e-02
     4.9115914   1.405707344e-02
     4.9091802   1.406800673e-02
     4.9067713   1.406617394e-02
     4.9043649   1.405723594e-02
     4.9019608   1.405992071e-02
     4.8995590   1.407061061e-02
     4.8971596   1.406121060e-02
     4.8947626   1.408504017e-02
     4.8923679   1.405879015e-02
     4.8899756   1.406897317e-02
     4.8875855   1.406136613e-02
     4.8851979   1.405789264e-02
     4.8828125   1.405668690e-02
     4.8804295   1.405612238e-02
     4.8780488   1.405796624e-02
     4.8756704   1.406377094e-02
     4.8732943   1.406077467e-02
     4.8709206   1.406523776e-02
     4.8685492   1.405848649e-02
     4.8661800   1.406040619e-02
     4.8638132   1.406358960e-02
     4.8614487   1.405711857e-02
     4.8590865   1.406636059e-02
     4.8567266   1.405628156e-02
     4.8543689   1.406498256e-02
     4.8520136   1.405628849e-02
     4.8496605   1.405768029e-02
     4.8473097   1.405617787e-02
     4.8449612   1.406094644e-02
     4.8426150   1.406855598e-02
     4.8402711   1.405932045e-02
     4.8379294   1.405639638e-02
     4.8355899   1.406903017e-02
     4.8332528   1.406355599e-02
     4.8309179   1.405655067e-02
     4.8285852   1.405606880e-02
     4.8262548   1.406935253e-02
     4.8239267   1.407158002e-02
     4.8216008   1.406967802e-02
     4.8192771   1.405611406e-02
     4.8169557   1.405710785e-02
     4.8146365   1.406093137e-02
     4.8123195   1.406126566e-02
     4.8100048   1.405708061e-02
     4.8076923   1.405669741e-02
     4.8053820   1.405909283e-02
     4.8030740   1.409097904e-02
     4.8007681   1.405690824e-02
     4.7984645   1.405667121e-02
     4.7961631   1.406988363e-02
     4.7938639   1.406153623e-02
     4.7915668   1.405807253e-02
     4.7892720   1.406173821e-02
     4.7869794   1.405733583e-02
     4.7846890   1.406307864e-02
     4.7824008   1.406102612e-02
     4.7801147   1.405755125e-02
     4.7778309   1.406563506e-02
     4.7755492   1.405816763e-02
     4.7732697   1.406403562e-02
     4.7709924   1.405629625e-02
     4.7687172   1.405813476e-02
     4.7664442   1.405732183e-02
     4.7641734   1.406538263e-02
     4.7619048   1.405910228e-02
     4.7596383   1.405716599e-02
